doc_index,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
65,0.000888,0.085843,0.242833,0.000888,0.000888,0.137775,0.529997,0.000888
66,0.551276,0.001009,0.335053,0.001010,0.001009,0.001010,0.001009,0.108625
67,0.000787,0.000787,0.994489,0.000787,0.000787,0.000787,0.000787,0.000789
68,0.184209,0.158597,0.000813,0.053708,0.000813,0.272411,0.281594,0.047855
69,0.000970,0.000970,0.000970,0.000970,0.000970,0.000970,0.993212,0.000969
70,0.993366,0.000948,0.000948,0.000947,0.000948,0.000948,0.000948,0.000948
71,0.414513,0.000941,0.256261,0.000941,0.000941,0.000941,0.000941,0.324520
72,0.001043,0.001043,0.001044,0.090461,0.001044,0.385200,0.519122,0.001044
73,0.001117,0.001117,0.001117,0.001117,0.001117,0.992180,0.001117,0.001117
74,0.077510,0.001108,0.426350,0.001109,0.001108,0.239367,0.001109,0.252339
75,0.001318,0.118138,0.001319,0.226020,0.001318,0.001318,0.542270,0.108300
76,0.001088,0.001088,0.753984,0.001089,0.001088,0.001088,0.239487,0.001088
77,0.001080,0.001080,0.001079,0.001079,0.001079,0.382145,0.001079,0.611379
78,0.000732,0.000731,0.994877,0.000732,0.000732,0.000733,0.000732,0.000732
79,0.278907,0.000863,0.000863,0.076805,0.000863,0.000864,0.639971,0.000864
80,0.000888,0.000887,0.000888,0.132592,0.000887,0.000887,0.000888,0.862082
81,0.000835,0.000834,0.994158,0.000835,0.000834,0.000834,0.000835,0.000834
82,0.001215,0.076395,0.253121,0.266678,0.001216,0.001215,0.398943,0.001216
83,0.321596,0.001490,0.001491,0.001490,0.001490,0.001490,0.669464,0.001490
84,0.413587,0.002196,0.002196,0.002195,0.002196,0.002195,0.573238,0.002195
85,0.000645,0.410157,0.218173,0.368444,0.000645,0.000645,0.000646,0.000645
86,0.538334,0.093477,0.000797,0.000797,0.000797,0.222095,0.142904,0.000798
87,0.182982,0.000537,0.000537,0.650036,0.000537,0.000537,0.000537,0.164296
88,0.737862,0.001346,0.001345,0.001345,0.001347,0.001346,0.001345,0.254064
89,0.990585,0.001345,0.001345,0.001345,0.001345,0.001346,0.001345,0.001345
90,0.994157,0.000835,0.000834,0.000834,0.000835,0.000834,0.000836,0.000834
91,0.658495,0.001159,0.001160,0.113333,0.001158,0.129321,0.001159,0.094214
92,0.081963,0.000797,0.000797,0.721937,0.000797,0.000797,0.000798,0.192114
93,0.699988,0.147558,0.000847,0.074167,0.000846,0.043235,0.000845,0.032513
94,0.566959,0.427352,0.000948,0.000948,0.000949,0.000948,0.000948,0.000948
95,0.419634,0.000851,0.000851,0.000852,0.000851,0.575257,0.000852,0.000852
96,0.255968,0.000616,0.000617,0.000617,0.000616,0.000617,0.000616,0.740333
97,0.818792,0.000887,0.000888,0.000888,0.000887,0.041758,0.000888,0.135011
98,0.792500,0.000889,0.000888,0.202171,0.000888,0.000888,0.000887,0.000889
99,0.867705,0.125930,0.001060,0.001060,0.001060,0.001061,0.001061,0.001062
100,0.990881,0.001303,0.001303,0.001302,0.001303,0.001303,0.001303,0.001303
101,0.994965,0.000720,0.000719,0.000719,0.000719,0.000719,0.000719,0.000720
102,0.531682,0.378604,0.001061,0.084408,0.001061,0.001061,0.001061,0.001061
103,0.431855,0.001239,0.001239,0.001239,0.560710,0.001239,0.001239,0.001239
104,0.339518,0.000986,0.000985,0.125524,0.000985,0.000986,0.000986,0.530030
105,0.000935,0.616401,0.111398,0.000934,0.000934,0.267530,0.000934,0.000934
106,0.249631,0.035148,0.000824,0.000823,0.000823,0.554792,0.000824,0.157135
107,0.000978,0.000977,0.860637,0.000977,0.000977,0.133498,0.000977,0.000977
108,0.994001,0.000857,0.000857,0.000857,0.000857,0.000858,0.000857,0.000857
109,0.858334,0.134155,0.001252,0.001251,0.001251,0.001253,0.001251,0.001251
110,0.001584,0.001584,0.001585,0.001586,0.001583,0.988911,0.001583,0.001584
111,0.500032,0.083472,0.331704,0.001194,0.001191,0.080022,0.001193,0.001192
112,0.001254,0.001251,0.001252,0.001253,0.001251,0.991237,0.001251,0.001251
113,0.001304,0.183167,0.169972,0.001303,0.001304,0.640343,0.001304,0.001304
114,0.000436,0.996948,0.000436,0.000436,0.000436,0.000436,0.000436,0.000436
115,0.160428,0.055312,0.659531,0.001251,0.001251,0.119720,0.001254,0.001252
116,0.994276,0.000818,0.000818,0.000817,0.000818,0.000818,0.000818,0.000818
117,0.519250,0.139821,0.335391,0.001107,0.001108,0.001108,0.001108,0.001108
118,0.301030,0.001159,0.001159,0.001158,0.001159,0.430775,0.001159,0.262402
119,0.000616,0.000616,0.000616,0.000616,0.000616,0.995688,0.000616,0.000616
120,0.130821,0.000941,0.000942,0.000941,0.000942,0.685658,0.000941,0.178814
121,0.043258,0.000971,0.386898,0.000970,0.000970,0.564993,0.000970,0.000970
122,0.000636,0.687645,0.308544,0.000635,0.000635,0.000636,0.000635,0.000635
123,0.216801,0.051042,0.512276,0.001422,0.001422,0.179516,0.036100,0.001422
124,0.566634,0.001473,0.001473,0.001472,0.001472,0.424530,0.001472,0.001472
125,0.285761,0.076290,0.631562,0.001277,0.001277,0.001278,0.001276,0.001277
126,0.138384,0.001545,0.852341,0.001546,0.001545,0.001546,0.001546,0.001545
127,0.001627,0.001625,0.988622,0.001625,0.001625,0.001626,0.001625,0.001625
128,0.326086,0.001171,0.358566,0.001170,0.001170,0.001170,0.014839,0.295828
129,0.501452,0.000894,0.493185,0.000894,0.000894,0.000894,0.000894,0.000894
130,0.428530,0.001078,0.511069,0.001079,0.001078,0.001080,0.001078,0.055007
131,0.221505,0.000927,0.772934,0.000927,0.000927,0.000928,0.000927,0.000927
132,0.001456,0.001455,0.989816,0.001455,0.001454,0.001455,0.001455,0.001455
133,0.089107,0.001099,0.136731,0.001098,0.185443,0.428828,0.156596,0.001099
134,0.001070,0.001069,0.759034,0.001070,0.001069,0.234548,0.001069,0.001070
135,0.002020,0.002020,0.137164,0.002018,0.002020,0.824240,0.028498,0.002019
136,0.682823,0.001815,0.140496,0.001814,0.001815,0.001815,0.001814,0.167607
137,0.547705,0.001361,0.305920,0.001360,0.001360,0.001361,0.139574,0.001360
138,0.710371,0.073536,0.211490,0.000920,0.000920,0.000921,0.000920,0.000920
139,0.244394,0.038920,0.301589,0.001193,0.001192,0.410330,0.001192,0.001192
140,0.474998,0.000887,0.519678,0.000887,0.000887,0.000888,0.000887,0.000887
141,0.404071,0.001508,0.586884,0.001507,0.001508,0.001508,0.001507,0.001508
142,0.985639,0.002051,0.002053,0.002050,0.002051,0.002054,0.002051,0.002052
143,0.676781,0.001191,0.061183,0.001191,0.001191,0.256079,0.001192,0.001192
144,0.450054,0.001489,0.322438,0.001489,0.001489,0.220061,0.001489,0.001490
145,0.001009,0.879001,0.001010,0.001009,0.001009,0.114943,0.001009,0.001009
146,0.001456,0.606124,0.385145,0.001455,0.001455,0.001455,0.001455,0.001456
147,0.001263,0.001264,0.001264,0.991155,0.001263,0.001263,0.001264,0.001264
148,0.001018,0.219254,0.545632,0.001017,0.144798,0.001018,0.001017,0.086245
149,0.001605,0.618569,0.001605,0.001604,0.001604,0.371806,0.001603,0.001604
150,0.523635,0.000736,0.100759,0.000737,0.000737,0.063566,0.000737,0.309094
151,0.494144,0.001456,0.497122,0.001455,0.001456,0.001456,0.001455,0.001455
152,0.002158,0.539317,0.002158,0.447735,0.002159,0.002159,0.002156,0.002157
153,0.382046,0.001069,0.183968,0.001069,0.013944,0.415766,0.001069,0.001069
154,0.000818,0.000818,0.994277,0.000818,0.000818,0.000818,0.000817,0.000817
155,0.000956,0.420864,0.233261,0.000955,0.063540,0.000955,0.000955,0.278512
156,0.002084,0.985405,0.002085,0.002085,0.002085,0.002084,0.002085,0.002087
157,0.265776,0.029156,0.000963,0.037251,0.000963,0.000963,0.663965,0.000963
158,0.002720,0.002724,0.002722,0.749687,0.233985,0.002721,0.002720,0.002721
159,0.001193,0.140472,0.001193,0.292758,0.001192,0.001193,0.560807,0.001192
160,0.000948,0.439206,0.206783,0.349270,0.000948,0.000948,0.000948,0.000948
161,0.001304,0.859552,0.001304,0.001303,0.001306,0.001304,0.132623,0.001304
162,0.002505,0.002503,0.002504,0.002503,0.002504,0.182700,0.802278,0.002503
163,0.174160,0.001584,0.348979,0.001585,0.001584,0.245351,0.001583,0.225172
164,0.001815,0.001814,0.358161,0.209348,0.001814,0.423419,0.001813,0.001815
165,0.001716,0.001715,0.001715,0.001714,0.880404,0.001717,0.001717,0.109302
166,0.000948,0.000949,0.366197,0.327566,0.025530,0.217839,0.060023,0.000949
167,0.001508,0.001509,0.297091,0.083223,0.001508,0.001508,0.001508,0.612145
168,0.000642,0.000642,0.490125,0.000641,0.000642,0.506024,0.000642,0.000642
169,0.076264,0.000639,0.476496,0.000638,0.000638,0.198503,0.246183,0.000639
170,0.002452,0.303275,0.002452,0.134348,0.440947,0.002452,0.002456,0.111618
171,0.003126,0.003127,0.003126,0.003126,0.780888,0.003125,0.003126,0.200356
172,0.002020,0.002018,0.002021,0.551702,0.002019,0.436182,0.002019,0.002017
173,0.991731,0.000672,0.000673,0.000673,0.000673,0.004232,0.000673,0.000673
174,0.275851,0.269787,0.000986,0.141488,0.000986,0.308931,0.000985,0.000985
175,0.000792,0.906038,0.000792,0.000792,0.000793,0.000792,0.000792,0.089211
176,0.038295,0.001240,0.286479,0.001240,0.001240,0.669028,0.001239,0.001239
177,0.717487,0.017681,0.240790,0.000963,0.000963,0.020193,0.000962,0.000962
178,0.001205,0.666168,0.232197,0.001204,0.001203,0.095615,0.001205,0.001203
179,0.001149,0.001149,0.001148,0.879305,0.113803,0.001149,0.001148,0.001149
180,0.000963,0.993260,0.000963,0.000963,0.000963,0.000963,0.000963,0.000963
181,0.001361,0.755340,0.199007,0.001361,0.001360,0.038850,0.001360,0.001360
182,0.386399,0.000585,0.463021,0.000585,0.000585,0.052428,0.095813,0.000585
183,0.214284,0.001138,0.621919,0.043586,0.001138,0.076077,0.026688,0.015171
184,0.002084,0.196530,0.002084,0.002084,0.002085,0.002084,0.002085,0.790963
185,0.002088,0.466688,0.002088,0.421020,0.002087,0.002088,0.101855,0.002086
186,0.001052,0.001051,0.001052,0.001051,0.001051,0.992640,0.001051,0.001051
187,0.833296,0.001052,0.160393,0.001053,0.001052,0.001052,0.001052,0.001051
188,0.000851,0.994038,0.000851,0.000851,0.000851,0.000851,0.000853,0.000852
189,0.995049,0.000707,0.000707,0.000707,0.000707,0.000707,0.000707,0.000707
190,0.001346,0.167643,0.108911,0.526842,0.191218,0.001346,0.001346,0.001347
191,0.449108,0.001391,0.542546,0.001392,0.001390,0.001391,0.001390,0.001391
192,0.282066,0.332412,0.001043,0.129330,0.001043,0.152426,0.100635,0.001044
193,0.253608,0.001422,0.663394,0.001422,0.001422,0.001423,0.075887,0.001422
194,0.001584,0.001585,0.001584,0.001584,0.659449,0.001583,0.001585,0.331047
195,0.001229,0.991409,0.001227,0.001227,0.001227,0.001227,0.001227,0.001227
196,0.002610,0.002607,0.002609,0.002606,0.002608,0.727625,0.256723,0.002612
197,0.000882,0.000882,0.000882,0.000882,0.883157,0.111553,0.000881,0.000881
198,0.000724,0.000723,0.214394,0.000723,0.000723,0.000724,0.781266,0.000723
199,0.001079,0.001078,0.001079,0.001079,0.992447,0.001079,0.001079,0.001079
200,0.000684,0.861712,0.000684,0.000684,0.000684,0.134186,0.000684,0.000683
201,0.000695,0.000695,0.000695,0.000696,0.000695,0.995135,0.000695,0.000695
202,0.000985,0.000985,0.993103,0.000985,0.000985,0.000985,0.000986,0.000985
203,0.000638,0.000638,0.000638,0.000638,0.995532,0.000639,0.000638,0.000638
204,0.000478,0.000477,0.000478,0.000477,0.000477,0.000478,0.996657,0.000477
205,0.000642,0.000641,0.995509,0.000641,0.000641,0.000642,0.000642,0.000641
206,0.000787,0.000787,0.994489,0.000787,0.000787,0.000787,0.000787,0.000789
207,0.323857,0.000846,0.000846,0.268963,0.000846,0.000846,0.402951,0.000845
208,0.000970,0.000970,0.000970,0.000970,0.000970,0.000970,0.993212,0.000969
